Seq	Pop	LAT	LON
WAMS69518	DAMPIER	-20.6612	116.704
WAMS69548	DAMPIER	-20.6612	116.704
WAMS69549	DAMPIER	-20.6612	116.704
WAMS69550	DAMPIER	-20.6612	116.704
WAMS69551	DAMPIER	-20.6612	116.704
WAMS69552	DAMPIER	-20.6612	116.704
WAMS69553	DAMPIER	-20.6612	116.704
WAMS69554	DAMPIER	-20.6612	116.704
WAMS69555	DAMPIER	-20.6612	116.704
WAMS69556	DAMPIER	-20.6612	116.704
WAMS69557	DAMPIER	-20.6612	116.704
WAMS69558	DAMPIER	-20.6612	116.704
WAMS69559	DAMPIER	-20.6612	116.704
WAMS69560	DAMPIER	-20.6612	116.704
WAMS69561	DAMPIER	-20.6612	116.704
WAMS69562	DAMPIER	-20.6612	116.704
WAMS69563	DAMPIER	-20.6612	116.704
WAMS69564	DAMPIER	-20.6612	116.704
WAMS69565	DAMPIER	-20.6612	116.704
WAMS69566	DAMPIER	-20.6612	116.704
WAMS69567	DAMPIER	-20.6612	116.704
WAMS69568	DAMPIER	-20.6612	116.704
WAMS69569	DAMPIER	-20.6612	116.704
WAMS69984	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69985	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69986	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69987	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69988	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69989	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69990	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69991	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69992	FALSE CAPE BOSSUT	-18.5693	121.7351
WAMS69570	KARRATHA	-20.721	116.8903
WAMS69571	KARRATHA	-20.721	116.8903
WAMS69572	KARRATHA	-20.721	116.8903
WAMS69573	KARRATHA	-20.721	116.8903
WAMS69574	KARRATHA	-20.721	116.8903
WAMS69575	KARRATHA	-20.721	116.8903
WAMS69576	KARRATHA	-20.721	116.8903
WAMS69577	KARRATHA	-20.721	116.8903
WAMS69578	KARRATHA	-20.721	116.8903
WAMS69579	KARRATHA	-20.721	116.8903
WAMS69580	KARRATHA	-20.721	116.8903
WAMS69581	KARRATHA	-20.721	116.8903
WAMS69582	KARRATHA	-20.721	116.8903
WAMS69583	KARRATHA	-20.721	116.8903
WAMS69584	KARRATHA	-20.721	116.8903
WAMS69585	KARRATHA	-20.721	116.8903
WAMS69586	KARRATHA	-20.721	116.8903
WAMS69587	KARRATHA	-20.721	116.8903
WAMS69316	KARRATHA	-20.721	116.8903
WAMS96360	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98605	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98606	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98607	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98608	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98609	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98610	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98611	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98612	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98613	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98614	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98615	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98616	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98617	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98618	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98619	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98620	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98621	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98622	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98623	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98624	MONTITRIMOUILLE	-20.4039	115.5698
WAMS98625	MONTITRIMOUILLE	-20.4039	115.5698
WAMS96491	MONTITRIMOUILLEHOLLY	-20.3787	115.5487
WAMS98588	MONTITRIMOUILLEHOLLY	-20.3787	115.5487
WAMS98589	MONTITRIMOUILLEHOLLY	-20.3787	115.5487
WAMS98590	MONTITRIMOUILLEHOLLY	-20.3787	115.5487
WAMS69320	ONSLOW	-21.6314	115.1115
WAMS69660	ONSLOW	-21.6314	115.1115
WAMS69661	ONSLOW	-21.6314	115.1115
WAMS69662	ONSLOW	-21.6314	115.1115
WAMS69663	ONSLOW	-21.6314	115.1115
WAMS69664	ONSLOW	-21.6314	115.1115
WAMS69665	ONSLOW	-21.6314	115.1115
